# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 76, mean track length: 2
1 4.4824586319405553 -3.5549157631928239 34.072915748818168 51 51 51 0.31848952245744988 93 189 89 245
2 4.4078657695235091 -3.4096750489250782 33.966249194197673 131 131 131 0.0091884028252440832 93 199 89 255
3 4.3548581881024813 -3.3749105501046248 33.930608338994638 63 63 63 0.10681432974749883 93 200 89 262
4 4.3764157626526625 -3.3588342701414047 33.979858493636364 133 133 133 0.18848387718041132 93 205 89 265
5 5.0035543389987076 -2.9971458416784622 34.368359826323825 92 92 92 0.027014080273427079 93 223 89 297
6 3.885079575342965 -2.9913386823399124 33.743798964451699 64 64 64 0.13623298197534564 93 240 89 305
7 3.7943791248217877 -2.9701991575087647 33.691787539015806 179 179 179 0.22846880809616443 93 241 89 308
8 3.6711085876217324 -2.9332651124080291 33.559121659140672 143 143 143 0.82269248603984213 93 245 89 313
9 3.373934702453794 -2.7901532938940674 33.506369266403475 180 180 180 0.18910015673588337 93 256 89 325
10 2.7329574533209033 -2.7666423903535167 33.265879717867307 174 174 174 0.15340453727143466 93 267 89 327
11 3.1645376722137377 -2.7626364998709092 33.578601621106927 180 180 180 2.0750110595048437 93 259 89 328
12 2.885658832837291 -2.7354130219108823 33.316042729533564 168 168 168 0.26273613338604629 93 264 89 332
13 2.9450495111973027 -2.7310286828058747 33.339273082985031 177 177 177 0.15664601497195557 93 261 89 333
14 5.3635938219200101 -1.1123537726307855 35.053264467603377 248 248 248 0.10279744152416317 93 294 89 340
15 2.1820278823252095 -3.4406036007795686 30.934372703105129 177 86 60 0.04811276769241167 93 582 89 516
16 4.2997302983524133 -3.2589241571617173 33.908586758612067 161 161 161 0.078226351655278234 93 427 89 527
17 4.8617436108496568 -3.1358656942472281 34.291660138938703 162 162 162 0.19370620656922707 93 214 89 531
18 3.8975794264319816 -2.9386151658791393 33.805759493967741 138 138 138 0.18477924053695244 93 599 89 549
19 3.8325966357438599 -2.9352000499277064 33.712863910570327 176 176 176 0.13229720794617394 93 440 89 550
20 2.5570210631832313 -2.8224332271501558 33.223424919299617 145 145 145 0.056325149942265229 93 618 89 553
21 2.5570210631832313 -2.8224332271501558 33.223424919299617 145 145 145 0.056325149942265229 93 619 89 554
22 3.491877507987708 -2.7876872987051731 33.559389969834363 145 145 145 0.20505847231661534 93 447 89 555
23 3.4212055587994441 -2.7667170554665903 33.529264210747705 146 146 146 0.2632971993547687 93 448 89 559
24 3.4212055587994441 -2.7667170554665903 33.529264210747705 146 146 146 0.2632971993547687 93 449 89 560
25 2.6663933930062926 -2.7718646630107884 33.25594443229128 139 139 139 0.05336823730677992 93 623 89 561
